
english,example,lithuanian,lithuanian2,lithuanian3,lithuanian4
Amongst,"Among all the fruits, I like apples the most.",Tarp,,,
advantage,"Learning a foreign language has many advantages, such as making new friends and exploring other cultures.",pranašumas,,,
consequences,"If you don't study for the test, the consequences could be bad grades.",pasekmės,,,
Immutable,"In some countries, it's considered an immutable tradition to celebrate certain festivals.",Nekintamas,,,
incessantly,"The baby cried incessantly throughout the night, keeping the parents awake.",nenutrūkstamai,pastoviai,nesustodamas,
accomplished,She accomplished her goal of running a marathon after months of training.,įvykdytas,,,
conspires,Some people believe that powerful organizations conspire to control the media.,konspiruoja,rengti sąmokslą,,
certainty,"With certainty, I can say that she will arrive at the party on time.",užtikrintai,,,
convince,I tried my best to convince my parents to let me go on the trip with my friends.,įtikinti,,,
coincidence,It was just a coincidence that we bumped into each other at the mall yesterday.,sutapimas,,,
strength,Regular exercise can improve your physical strength and overall health.,jėga,,,
tremendously,The new marketing strategy has boosted sales tremendously.,be galo,,,
suppliers,Our company is always on the lookout for reliable suppliers who can provide quality materials.,tiekėjai,,,
enormous,"The elephant's size was enormous, making it an awe-inspiring sight.",milžiniškas,,,
possessed,She possessed an incredible talent for playing the violin.,turintis,,,
exceptional,"The chef's culinary skills were exceptional, leaving all the guests impressed.",išskirtinis,,,
disobedience,The protest was a result of widespread dissatisfaction and disobedience to unjust laws.,nepaklusnumas,,,
observed,The scientist carefully observed the behavior of the insects in their natural habitat.,Pastebėjus,,,
eternal,"The beauty of the sunset over the ocean seemed eternal, leaving us in awe.",Amžinas,,,
circumstances,"Despite facing difficult circumstances, she remained optimistic and determined to succeed.",aplinkybės,,,
capacity,She has the capacity to learn multiple languages quickly.,pajėgumas,,,
certain,I am certain that I left my keys on the kitchen counter.,tikras,,,
preclude,A lack of experience should not preclude you from applying for the job.,užkirsti kelią,,,
craftsmanship,The fine craftsmanship of the handmade furniture was evident in every detail.,meistriškumas,amatas,,
accomplishments,She received an award for her outstanding accomplishments in the field of science.,pasiekimai,,,
sustained,The company's sustained growth over the years made it a market leader.,nuolatinis,,,
envisioning,The architect spent hours envisioning the design for the new skyscraper.,įsivaizdavimas,,,
